candidate_id,source_batch_id,min_current_width_atr,market_data_hash,realised_trade_count,r_eligible_trade_count,win_rate,profit_factor,cumulative_gross_r,cumulative_net_r,return_pct,max_drawdown_pct,long_trades,long_win_rate,long_cumulative_gross_r,long_cumulative_net_r,short_trades,short_win_rate,short_cumulative_gross_r,short_cumulative_net_r,run_id,instance_id
width-01,lab_baseline_width_only_v2,1,2a088e995e2ea914c0199fb60e65791bb4de4e81894788315b10c1b2153f91a1,4149,4149,0.4979513135695348276693179079,0.9703014270536593164560602524,-17,-17,-0.3266492178656766075508089293,-0.4666972112536342570265735765,2350,0.4953191489361702127659574468,-22,-22,1799,0.5013896609227348526959421901,5,5,run_effe4d9ab69743c2a828b3e24ba232af,ema_pullback:2c678e68c0d84e785f7d9de8
width-02,lab_baseline_width_only_v2,2,2a088e995e2ea914c0199fb60e65791bb4de4e81894788315b10c1b2153f91a1,4059,4059,0.4959349593495934959349593496,0.9620468276280200655870796706,-33,-33,-0.3861742593958885483170282492,-0.4812094492665267503031653242,2303,0.4945722970039079461571862788,-25,-25,1756,0.4977220956719817767653758542,-8,-8,run_eef55778cc7d4297a4376627748dda45,ema_pullback:a56ae6f1a85992a0f55fc8b6
width-03,lab_baseline_width_only_v2,3,2a088e995e2ea914c0199fb60e65791bb4de4e81894788315b10c1b2153f91a1,3792,3792,0.4970991561181434599156118143,0.9688186934253536670286261834,-22,-22,-0.3050412772240853584314211795,-0.4590780860918097652216676815,2152,0.4953531598513011152416356877,-20,-20,1640,0.4993902439024390243902439024,-2,-2,run_7e87ef78d97a4c2e9f827152f07efda9,ema_pullback:0c8381c37b0f4dcb3c219ec3
width-04,lab_baseline_width_only_v2,4,2a088e995e2ea914c0199fb60e65791bb4de4e81894788315b10c1b2153f91a1,3286,3286,0.5021302495435179549604382228,0.9849192680631506475141229704,14,14,-0.140042828958413196601210279,-0.4318604046409802572960545323,1902,0.4989484752891692954784437434,-4,-4,1384,0.5065028901734104046242774566,18,18,run_3de6f96a150243d4ba8f80ec9361db6f,ema_pullback:b55ee98f93a4800dc6508fcc
width-05,lab_baseline_width_only_v2,5,2a088e995e2ea914c0199fb60e65791bb4de4e81894788315b10c1b2153f91a1,2610,2610,0.4942528735632183908045977011,0.9473601199347810820984166823,-30,-30,-0.3486594642383264427910118773,-0.4733250643023466827255409442,1516,0.4894459102902374670184696570,-32,-32,1094,0.5009140767824497257769652651,2,2,run_91cd46b2bb154f7693d5726ba440de8a,ema_pullback:012730d8663d4a1ea8c4313b
width-06,lab_baseline_width_only_v2,6,2a088e995e2ea914c0199fb60e65791bb4de4e81894788315b10c1b2153f91a1,1967,1967,0.5094051855617691916624300966,1.021967188645955239544295664,37,37,0.1424140601565045403110826552,-0.3686833849090204355141187599,1169,0.4995722840034217279726261762,-1,-1,798,0.5238095238095238095238095238,38,38,run_8154d922f4a54c848b446d531e17d477,ema_pullback:467cd86eaa46ef302a28928a
width-07,lab_baseline_width_only_v2,7,2a088e995e2ea914c0199fb60e65791bb4de4e81894788315b10c1b2153f91a1,1480,1480,0.5094594594594594594594594595,1.038860941670910643679034311,28,28,0.1697322094738061530665275036,-0.2858976242220981217951431709,887,0.4960541149943630214205186020,-7,-7,593,0.5295109612141652613827993255,35,35,run_04d84116ce5343a79102d02ce16a8595,ema_pullback:9cd139c6cca405c07251e523
width-08,lab_baseline_width_only_v2,8,2a088e995e2ea914c0199fb60e65791bb4de4e81894788315b10c1b2153f91a1,1113,1113,0.5175202156334231805929919137,1.053897978879882330521256317,39,39,0.1620894786590364308193156917,-0.1596084396331182256490088322,681,0.5124816446402349486049926579,17,17,432,0.5254629629629629629629629630,22,22,run_7ba61794d7ed47d59452361202326bfd,ema_pullback:ba89991c80750201239e4a31
width-09,lab_baseline_width_only_v2,9,2a088e995e2ea914c0199fb60e65791bb4de4e81894788315b10c1b2153f91a1,833,833,0.5294117647058823529411764706,1.120963323857485744369383601,49,49,0.2518166197075984418857938518,-0.0812116523865406160775604218,518,0.5366795366795366795366795367,38,38,315,0.5174603174603174603174603175,11,11,run_bd98cd88378c46febd04f62c72fc24d4,ema_pullback:a3b45ac5c72cde1daccd6ebb
width-10,lab_baseline_width_only_v2,10,2a088e995e2ea914c0199fb60e65791bb4de4e81894788315b10c1b2153f91a1,609,609,0.5435139573070607553366174056,1.117787015710643973372269829,53,53,0.1618143708271160644388787136,-0.0851247166974696189668992335,385,0.5636363636363636363636363636,49,49,224,0.5089285714285714285714285714,4,4,run_b48e787d573a4e1da257d555a44c2762,ema_pullback:3d10bebd25ddc740170a8d28
width-11,lab_baseline_width_only_v2,11,2a088e995e2ea914c0199fb60e65791bb4de4e81894788315b10c1b2153f91a1,445,445,0.5438202247191011235955056180,1.093995642511724953415576234,39,39,0.08384924226801708333771895136,-0.0643432728287429574932107922,279,0.5734767025089605734767025090,41,41,166,0.4939759036144578313253012048,-2,-2,run_a5ac79dd0eaf4e24aa1dfb36b0c1f3bf,ema_pullback:cc33576bc9bb8f0f282a1348
width-12,lab_baseline_width_only_v2,12,2a088e995e2ea914c0199fb60e65791bb4de4e81894788315b10c1b2153f91a1,320,320,0.509375,1.005089770227340698901633765,6,6,0.003046682510747937356750000708,-0.0968769799040946442956907177,191,0.5497382198952879581151832461,19,19,129,0.4496124031007751937984496124,-13,-13,run_fe15f0ea72fa409da04886f3be77186b,ema_pullback:75fc5ad91a63cae5efe4f6d8
