candidate_id,source_batch_id,min_current_width_atr,untouched_lookback,market_data_hash,realised_trade_count,r_eligible_trade_count,win_rate,profit_factor,cumulative_gross_r,cumulative_net_r,return_pct,max_drawdown_pct,long_trades,long_win_rate,long_cumulative_gross_r,long_cumulative_net_r,short_trades,short_win_rate,short_cumulative_gross_r,short_cumulative_net_r,run_id,instance_id
w01-lb060,lab_width_x_untouched_2d_v1,1,60,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,1401,1401,0.5146324054246966452533904354,1.054605568957917889822278710,41,41,0.2813944414797225884122958506,-0.1728507812503226738002530179,785,0.5222929936305732484076433121,35,35,616,0.5048701298701298701298701299,6,6,run_822cbcd2b29a41179726d0f47d4123e3,ema_pullback:fe270274d69847dcafed8691
w01-lb065,lab_width_x_untouched_2d_v1,1,65,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,1345,1345,0.5197026022304832713754646840,1.077417164876493491367044773,53,53,0.3999066422021825498004902388,-0.1804252842899140847246475591,755,0.5258278145695364238410596026,39,39,590,0.5118644067796610169491525424,14,14,run_3a068feb4c4c43c1a0bc64a0e89698e5,ema_pullback:9c4ee741c1015209d38f1a21
w01-lb070,lab_width_x_untouched_2d_v1,1,70,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,1301,1301,0.5242121445042275172943889316,1.088560285654267051246329221,63,63,0.4381551022318883967955775217,-0.1567017375604101321372747562,734,0.5299727520435967302452316076,44,44,567,0.5167548500881834215167548501,19,19,run_039b0c7e02264eb19d55293342af4ba1,ema_pullback:3f44bd33ddd9c9891a6e0710
w01-lb075,lab_width_x_untouched_2d_v1,1,75,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,1237,1237,0.5270816491511721907841552142,1.103912690746579883252606211,67,67,0.4859676898832109233227221791,-0.1253285833692875953853958152,691,0.5325615050651230101302460203,45,45,546,0.5201465201465201465201465201,22,22,run_e4cd7dbfadc4485196896460b639a319,ema_pullback:8003ff88195de9d94f006d76
w01-lb080,lab_width_x_untouched_2d_v1,1,80,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,1168,1168,0.5351027397260273972602739726,1.121468054259155030919322902,82,82,0.5374213012870870043245238905,-0.1157502675906868464148903708,648,0.5447530864197530864197530864,58,58,520,0.5230769230769230769230769231,24,24,run_c1d6dd5b99b047d08c04cb3ce19b9f5e,ema_pullback:b7f179930673bae3192a5686
w01-lb085,lab_width_x_untouched_2d_v1,1,85,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,1123,1123,0.5387355298308103294746215494,1.124230096283551731377898086,87,87,0.5259302254568542658574783989,-0.1010026573068479429256985666,619,0.5508885298869143780290791599,63,63,504,0.5238095238095238095238095238,24,24,run_d76cfb85610249dfbd0622a40e59aaca,ema_pullback:855c17b0b99248efd2a85c57
w01-lb090,lab_width_x_untouched_2d_v1,1,90,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,1085,1085,0.5382488479262672811059907834,1.138834882377693775853020011,83,83,0.5823218043865424127514406062,-0.1036071436570571470991546727,593,0.5514333895446880269814502530,61,61,492,0.5223577235772357723577235772,22,22,run_29daf67faa064a128b83a814d78c018e,ema_pullback:b9d984b50cc0722a701ba6ec
w01-lb095,lab_width_x_untouched_2d_v1,1,95,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,1050,1050,0.5419047619047619047619047619,1.150583978857394395650947105,88,88,0.6169950581883966869354840687,-0.0960039910718316620772888107,571,0.5604203152364273204903677758,69,69,479,0.5198329853862212943632567850,19,19,run_3049f9587b254351ae26708d168cf6c0,ema_pullback:162f88e5a47a5428b1efaf47
w01-lb100,lab_width_x_untouched_2d_v1,1,100,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,1015,1015,0.5448275862068965517241379310,1.155644084222992139081476394,91,91,0.6296160503231782063787137391,-0.0864155207642046324870377122,553,0.5605786618444846292947558770,67,67,462,0.5259740259740259740259740260,24,24,run_acb0864084654bbdbd74a56fe25cff93,ema_pullback:b3be74f0eb915bca0b73820b
w01-lb105,lab_width_x_untouched_2d_v1,1,105,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,982,982,0.5488798370672097759674134420,1.169782594552009835074937530,96,96,0.6531438760103247340433008786,-0.0884727739651661654202385732,535,0.5700934579439252336448598131,75,75,447,0.5234899328859060402684563758,21,21,run_362778e36d15432db21492a66848b504,ema_pullback:be48637646a26a7af8473b39
w01-lb110,lab_width_x_untouched_2d_v1,1,110,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,947,947,0.5501583949313621964097148891,1.180106970848629790569343662,95,95,0.6558510345640792878051302411,-0.1028333570463813575428442328,518,0.5714285714285714285714285714,74,74,429,0.5244755244755244755244755245,21,21,run_7d1f0429cce74778afc40f9fb2080ddc,ema_pullback:716f581b7a03b5bf1a0ae0ff
w01-lb115,lab_width_x_untouched_2d_v1,1,115,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,916,916,0.5502183406113537117903930131,1.196956362832067150177818157,92,92,0.7074334752833415892613800633,-0.1028333570463813575428442313,500,0.572,72,72,416,0.5240384615384615384615384615,20,20,run_6d34dd7afb0949e38740bfe4ff2983df,ema_pullback:baa72a383a4112c5ac1162d7
w01-lb120,lab_width_x_untouched_2d_v1,1,120,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,884,884,0.5531674208144796380090497738,1.228518407952992293132949294,94,94,0.8029917688644274714998082356,-0.0981923665295016679588800672,483,0.5776397515527950310559006211,75,75,401,0.5236907730673316708229426434,19,19,run_5141a978af6d4b23a6dc3d2826b969fd,ema_pullback:6cb6825d436f922013527ce0
w01-lb125,lab_width_x_untouched_2d_v1,1,125,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,848,848,0.5459905660377358490566037736,1.191040777806756886347312070,78,78,0.6075885849556726756913154323,-0.0981923665295016679588800658,467,0.5695931477516059957173447537,65,65,381,0.5170603674540682414698162730,13,13,run_bf86e075913e4df58503f24082bb8348,ema_pullback:874eb2af61d3e81a16fcd794
w01-lb130,lab_width_x_untouched_2d_v1,1,130,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,819,819,0.5433455433455433455433455433,1.183457774738643985362948974,71,71,0.5539918318739987321999906302,-0.0932819291397462426550186592,454,0.5660792951541850220264317181,60,60,365,0.5150684931506849315068493151,11,11,run_f77e15d6b8e24e54869366e1b7d9c34b,ema_pullback:8471d322fda4fc5691d48eae
w01-lb135,lab_width_x_untouched_2d_v1,1,135,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,793,793,0.5346784363177805800756620429,1.146441545382775636304587069,55,55,0.4241789547112252604744711485,-0.0915541568858519295231867388,440,0.5545454545454545454545454545,48,48,353,0.5099150141643059490084985836,7,7,run_192d190a343c4f4dba44c70b17eb1f45,ema_pullback:596027839b34e623cb121ced
w01-lb140,lab_width_x_untouched_2d_v1,1,140,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,764,764,0.5353403141361256544502617801,1.147240673253068767330153855,54,54,0.407451567398776236559936642,-0.0770935961888884133411568373,421,0.5534441805225653206650831354,45,45,343,0.5131195335276967930029154519,9,9,run_83ee0842cb784039a7d89ddb04e398de,ema_pullback:a723f9a9c252153e6799c892
w02-lb060,lab_width_x_untouched_2d_v1,2,60,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,1398,1398,0.5157367668097281831187410587,1.060464789317501459698034961,44,44,0.3155037125117235934059643253,-0.1728507812503226738002530198,783,0.5236270753512132822477650064,37,37,615,0.5056910569105691056910569106,7,7,run_987b16aa49344652bad8de822f15d6b7,ema_pullback:97b9946b6a31dc3df212b8e3
w02-lb065,lab_width_x_untouched_2d_v1,2,65,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,1342,1342,0.5208643815201192250372578241,1.083567645436485294885494901,56,56,0.4371705740038785359406929167,-0.1804252842899140847246475599,753,0.5272244355909694555112881806,41,41,589,0.5127334465195246179966044143,15,15,run_e8a97f6e45e946e18c82959dbb8d4a54,ema_pullback:0b50a845c5c6397a69d3734c
w02-lb070,lab_width_x_untouched_2d_v1,2,70,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,1299,1299,0.5250192455735180908391070054,1.090570462335632623670205731,65,65,0.4510003021667124765922608973,-0.1567017375604101321372747549,733,0.5306957708049113233287858117,45,45,566,0.5176678445229681978798586572,20,20,run_e09884d37076499086c378399f4824b4,ema_pullback:35a815b5ae038c1a74e5e8e8
w02-lb075,lab_width_x_untouched_2d_v1,2,75,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,1236,1236,0.5275080906148867313915857605,1.105191690429178788844675619,68,68,0.4938218338206617576403516174,-0.1253285833692875953853958106,690,0.5333333333333333333333333333,46,46,546,0.5201465201465201465201465201,22,22,run_f6ec19183de546a0bd9b50456ba81345,ema_pullback:ca7b5ece19ed3afbb9493b07
w02-lb080,lab_width_x_untouched_2d_v1,2,80,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,1167,1167,0.5355612682090831191088260497,1.122841556705420042642625801,83,83,0.5455474054244931057814625298,-0.1157502675906868464148903624,647,0.5455950540958268933539412674,59,59,520,0.5230769230769230769230769231,24,24,run_8de36e987de845a7b0f2eec1a2889a18,ema_pullback:f2b67f0f378d655196cc26ee
w02-lb085,lab_width_x_untouched_2d_v1,2,85,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,1123,1123,0.5387355298308103294746215494,1.124230096283551731377898086,87,87,0.5259302254568542658574783989,-0.1010026573068479429256985666,619,0.5508885298869143780290791599,63,63,504,0.5238095238095238095238095238,24,24,run_3daae0b3db9e4f158a9738261032952b,ema_pullback:447321d18436e854364c164d
w02-lb090,lab_width_x_untouched_2d_v1,2,90,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,1085,1085,0.5382488479262672811059907834,1.138834882377693775853020011,83,83,0.5823218043865424127514406062,-0.1036071436570571470991546727,593,0.5514333895446880269814502530,61,61,492,0.5223577235772357723577235772,22,22,run_ef9c79020c2849a4a1661b59ab6e9253,ema_pullback:723235b17f07d4ccbdd44977
w02-lb095,lab_width_x_untouched_2d_v1,2,95,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,1050,1050,0.5419047619047619047619047619,1.150583978857394395650947105,88,88,0.6169950581883966869354840687,-0.0960039910718316620772888107,571,0.5604203152364273204903677758,69,69,479,0.5198329853862212943632567850,19,19,run_6239dd057b65493ea9d0cee81af929ce,ema_pullback:c8094c3ca54f854fdc56f8c5
w02-lb100,lab_width_x_untouched_2d_v1,2,100,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,1015,1015,0.5448275862068965517241379310,1.155644084222992139081476394,91,91,0.6296160503231782063787137391,-0.0864155207642046324870377122,553,0.5605786618444846292947558770,67,67,462,0.5259740259740259740259740260,24,24,run_ca3da84bf4384120a3a06454978762c8,ema_pullback:8a8a266d291e1a9238741aaa
w02-lb105,lab_width_x_untouched_2d_v1,2,105,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,982,982,0.5488798370672097759674134420,1.169782594552009835074937530,96,96,0.6531438760103247340433008786,-0.0884727739651661654202385732,535,0.5700934579439252336448598131,75,75,447,0.5234899328859060402684563758,21,21,run_0a8e72e71a1c4e10ab697034991d3248,ema_pullback:6d6090fa0992eaed1a475db9
w02-lb110,lab_width_x_untouched_2d_v1,2,110,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,947,947,0.5501583949313621964097148891,1.180106970848629790569343662,95,95,0.6558510345640792878051302411,-0.1028333570463813575428442328,518,0.5714285714285714285714285714,74,74,429,0.5244755244755244755244755245,21,21,run_995e8d3472974baa92214096b5399e8c,ema_pullback:d15a217bab192a16ac8c4afb
w02-lb115,lab_width_x_untouched_2d_v1,2,115,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,916,916,0.5502183406113537117903930131,1.196956362832067150177818157,92,92,0.7074334752833415892613800633,-0.1028333570463813575428442313,500,0.572,72,72,416,0.5240384615384615384615384615,20,20,run_c2e9b2596835425f93bfc20b54bc05aa,ema_pullback:85666754402bd47bbd3c55cb
w02-lb120,lab_width_x_untouched_2d_v1,2,120,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,884,884,0.5531674208144796380090497738,1.228518407952992293132949294,94,94,0.8029917688644274714998082356,-0.0981923665295016679588800672,483,0.5776397515527950310559006211,75,75,401,0.5236907730673316708229426434,19,19,run_c9959ce40cad44daa8a8ef51dc380937,ema_pullback:74f3083aef5eafe4c82e90c2
w02-lb125,lab_width_x_untouched_2d_v1,2,125,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,848,848,0.5459905660377358490566037736,1.191040777806756886347312070,78,78,0.6075885849556726756913154323,-0.0981923665295016679588800658,467,0.5695931477516059957173447537,65,65,381,0.5170603674540682414698162730,13,13,run_1d6c471400644075a924f684b98c31fa,ema_pullback:72f3bf820b9cefebd4d3f580
w02-lb130,lab_width_x_untouched_2d_v1,2,130,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,819,819,0.5433455433455433455433455433,1.183457774738643985362948974,71,71,0.5539918318739987321999906302,-0.0932819291397462426550186592,454,0.5660792951541850220264317181,60,60,365,0.5150684931506849315068493151,11,11,run_3549c4181f8544a483c28d8844be29e7,ema_pullback:c2a80c925bc5f688df0b4049
w02-lb135,lab_width_x_untouched_2d_v1,2,135,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,793,793,0.5346784363177805800756620429,1.146441545382775636304587069,55,55,0.4241789547112252604744711485,-0.0915541568858519295231867388,440,0.5545454545454545454545454545,48,48,353,0.5099150141643059490084985836,7,7,run_feaa065212614512b02e4701e05ed6fd,ema_pullback:75413c09e7d67d0f8a2e2f4c
w02-lb140,lab_width_x_untouched_2d_v1,2,140,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,764,764,0.5353403141361256544502617801,1.147240673253068767330153855,54,54,0.407451567398776236559936642,-0.0770935961888884133411568373,421,0.5534441805225653206650831354,45,45,343,0.5131195335276967930029154519,9,9,run_721060a4960249b0bca30e802f62f680,ema_pullback:c663a46382c43acbb75475bc
w03-lb060,lab_width_x_untouched_2d_v1,3,60,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,1382,1382,0.5173661360347322720694645441,1.064104274794755045169873845,48,48,0.3286815984826567746852043964,-0.1790935115232488461464148158,776,0.5270618556701030927835051546,42,42,606,0.5049504950495049504950495050,6,6,run_5cf7c4f1f9f64accb217cd8d7670fd48,ema_pullback:5f055d9772a9dd45dd464149
w03-lb065,lab_width_x_untouched_2d_v1,3,65,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,1327,1327,0.5222305953278070836473247928,1.086037414375391373231763560,59,59,0.4414683918386329578532896675,-0.1866108476353309671310854675,747,0.5301204819277108433734939759,45,45,580,0.5120689655172413793103448276,14,14,run_c1a3ffe15cba406e8d4d75210bb543fc,ema_pullback:5c216424889b6e262652f601
w03-lb070,lab_width_x_untouched_2d_v1,3,70,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,1285,1285,0.5268482490272373540856031128,1.095689236660074656041889520,69,69,0.4699121931092332516449092754,-0.1630663492564659974660504806,727,0.5337001375515818431911966988,49,49,558,0.5179211469534050179211469534,20,20,run_270c259650ae482192604964c7a304f0,ema_pullback:d8ac2a34788027bce96121ad
w03-lb075,lab_width_x_untouched_2d_v1,3,75,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,1224,1224,0.5294117647058823529411764706,1.110959766680006150715898342,72,72,0.5180035285352250273058011148,-0.1319299771779133732213278237,685,0.5357664233576642335766423358,49,49,539,0.5213358070500927643784786642,23,23,run_35157dacf69c4220a2bdd6f393233264,ema_pullback:c3181af06fbabe4ee1b80d21
w03-lb080,lab_width_x_untouched_2d_v1,3,80,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,1159,1159,0.5366695427092320966350301984,1.123025539749269193751282431,85,85,0.5429586213456759979324846865,-0.1217185374646493553865342894,644,0.5465838509316770186335403727,60,60,515,0.5242718446601941747572815534,25,25,run_d243a4f44ab5455aa68b098f6661e3a4,ema_pullback:e8cbcb57564d317b5bbc6880
w03-lb085,lab_width_x_untouched_2d_v1,3,85,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,1115,1115,0.5399103139013452914798206278,1.124428300110425786226415369,89,89,0.5233743000551591095373005417,-0.1010026573068479429256985627,616,0.5519480519480519480519480519,64,64,499,0.5250501002004008016032064128,25,25,run_20cffc0851ff40b094bd0869aace3c61,ema_pullback:ae729163d79242124eea263a
w03-lb090,lab_width_x_untouched_2d_v1,3,90,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,1077,1077,0.5394614670380687093779015785,1.139156008913666634067939534,85,85,0.5796714233756565184719568294,-0.1036071436570571470991546766,590,0.5525423728813559322033898305,62,62,487,0.5236139630390143737166324435,23,23,run_eb1a5e14df5e4a34ad2f762ba564b3a3,ema_pullback:315313c02ae6ae06247e9eb8
w03-lb095,lab_width_x_untouched_2d_v1,3,95,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,1043,1043,0.5426653883029721955896452541,1.150069834331718662694510467,89,89,0.6103138487843810036508706752,-0.0960039910718316620772888046,568,0.5616197183098591549295774648,70,70,475,0.52,19,19,run_417ed8ebb6bd454c8f0f9bfb0c701984,ema_pullback:fcd1c80bfd8d3f16c54157ce
w03-lb100,lab_width_x_untouched_2d_v1,3,100,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,1008,1008,0.5456349206349206349206349206,1.155167564001320950708084260,92,92,0.6228826926513543442388519293,-0.0864155207642046324870377080,550,0.5618181818181818181818181818,68,68,458,0.5262008733624454148471615721,24,24,run_80dd36c09e0840cd9cde9c17505c93b4,ema_pullback:632133750486ce229f1be8e5
w03-lb105,lab_width_x_untouched_2d_v1,3,105,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,975,975,0.5497435897435897435897435897,1.169334006169047184873122363,97,97,0.6463133044791010057802180366,-0.0884727739651661654202385738,532,0.5714285714285714285714285714,76,76,443,0.5237020316027088036117381490,21,21,run_e3aa9818a7844b9dac5a5070213b4662,ema_pullback:90884cb14e74c6e704e6c0d4
w03-lb110,lab_width_x_untouched_2d_v1,3,110,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,940,940,0.5510638297872340425531914894,1.179674993984126693174560696,96,96,0.6490092774122836758354106219,-0.1028333570463813575428442322,515,0.5728155339805825242718446602,75,75,425,0.5247058823529411764705882353,21,21,run_70f1563fc71a4a2dad749bd7a7a7355f,ema_pullback:640c8735a8ccff728a7e27b9
w03-lb115,lab_width_x_untouched_2d_v1,3,115,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,909,909,0.5511551155115511551155115512,1.196650006709423185475554233,93,93,0.7003785863187612634702766826,-0.1028333570463813575428442314,497,0.5734406438631790744466800805,73,73,412,0.5242718446601941747572815534,20,20,run_fbd2859546dd469187f68e675e75aede,ema_pullback:bea91829e31bd87a84d55f92
w03-lb120,lab_width_x_untouched_2d_v1,3,120,04f80388f867e247ea84d67cacce59dade652531311bf9b4f7ce62a529404503,877,877,0.5541619156214367160775370582,1.228404392698313842680898774,95,95,0.7955420456877865810539565828,-0.0981923665295016679588800662,480,0.5791666666666666666666666667,76,76,397,0.5239294710327455919395465995,19,19,run_c40424604f3b44ac974c42cf74bd6348,ema_pullback:f0ec0f5fc9f3ff05e1d2bcec
