candidate_id,source_batch_id,min_current_width_atr,market_data_hash,realised_trade_count,r_eligible_trade_count,win_rate,profit_factor,cumulative_gross_r,cumulative_net_r,return_pct,max_drawdown_pct,long_trades,long_win_rate,long_cumulative_gross_r,long_cumulative_net_r,short_trades,short_win_rate,short_cumulative_gross_r,short_cumulative_net_r,run_id,instance_id
width-01,eth_ema200_width_sweep,1,422497bab61ae33b8ebf92d6b31a808a8c0e467bd61ed9917c611c8e9a89e6b8,3213,3213,0.4889511360099595393713040772,0.9428422224941555780124886252,-71,-71,-0.6518543817684261936608816178,-0.7834311660892880677311864761,1731,0.4864240323512420566146735991,-47,-47,1482,0.4919028340080971659919028340,-24,-24,run_4a0cb9d640504de8904b8d47705f1e49,ema_pullback:b54a680b980fc962aed3f306
width-02,eth_ema200_width_sweep,2,422497bab61ae33b8ebf92d6b31a808a8c0e467bd61ed9917c611c8e9a89e6b8,3152,3152,0.4885786802030456852791878173,0.9471261744101767055584935652,-72,-72,-0.6210724355983474922950391563,-0.7694773972414424411047326112,1695,0.4843657817109144542772861357,-53,-53,1457,0.4934797529169526424159231297,-19,-19,run_c3068d8aa0ca406c94c6c14862590dd5,ema_pullback:7e5a16b704b6a917962bdfcf
width-03,eth_ema200_width_sweep,3,422497bab61ae33b8ebf92d6b31a808a8c0e467bd61ed9917c611c8e9a89e6b8,2947,2947,0.4889718357651849338310145911,0.9430735910721991646094953064,-65,-65,-0.59822306995318425119693651,-0.7337314192470549338611259823,1592,0.4868090452261306532663316583,-42,-42,1355,0.4915129151291512915129151292,-23,-23,run_bb705dda4447466baab653af28b1d2e3,ema_pullback:e296eddf7ddf1ffa6493bbfc
width-04,eth_ema200_width_sweep,4,422497bab61ae33b8ebf92d6b31a808a8c0e467bd61ed9917c611c8e9a89e6b8,2484,2484,0.4895330112721417069243156200,0.9510168697779609050200228946,-52,-52,-0.458852887285132292581021174,-0.6509931164363567712639302210,1350,0.4903703703703703703703703704,-26,-26,1134,0.4885361552028218694885361552,-26,-26,run_7c79eb0742b8471cb084e6034a075223,ema_pullback:fc96c4a8cdf0cf37aca80554
width-05,eth_ema200_width_sweep,5,422497bab61ae33b8ebf92d6b31a808a8c0e467bd61ed9917c611c8e9a89e6b8,1896,1896,0.4873417721518987341772151899,0.9309728596223646163078367641,-48,-48,-0.4273565049854295126300954758,-0.5279991217557379658637963486,1058,0.4933837429111531190926275992,-14,-14,838,0.4797136038186157517899761337,-34,-34,run_739102dfe09e48d2951d16f53011ef4c,ema_pullback:9f1c2d69b76146d129b5c2b8
width-06,eth_ema200_width_sweep,6,422497bab61ae33b8ebf92d6b31a808a8c0e467bd61ed9917c611c8e9a89e6b8,1417,1417,0.4996471418489767113620324629,0.9316900303489828135574995140,-1,-1,-0.3098058545542375855386089051,-0.3816637807622627174599623713,811,0.5043156596794081381011097411,7,7,606,0.4933993399339933993399339934,-8,-8,run_66ae0988c48e41bf8c2c65c34b08be6a,ema_pullback:709eadc1d4f0cd175007f6fa
width-07,eth_ema200_width_sweep,7,422497bab61ae33b8ebf92d6b31a808a8c0e467bd61ed9917c611c8e9a89e6b8,1033,1033,0.4995159728944820909970958374,0.9435845608912281069082654483,-1,-1,-0.2102388019297927971602185377,-0.3139569155760639591108853867,595,0.5008403361344537815126050420,1,1,438,0.4977168949771689497716894977,-2,-2,run_152ba1fb605c42b2bfd291e1bbbed9bf,ema_pullback:6a941a8cb3c95945ac5ae390
width-08,eth_ema200_width_sweep,8,422497bab61ae33b8ebf92d6b31a808a8c0e467bd61ed9917c611c8e9a89e6b8,764,764,0.4856020942408376963350785340,0.8879049134960739219830901817,-22,-22,-0.2843540044319014789065751122,-0.3039656045361737588499479920,440,0.4931818181818181818181818182,-6,-6,324,0.4753086419753086419753086420,-16,-16,run_a7259ffbb39c4dc9a952687c35c12865,ema_pullback:dc0b87986f61cbbed8458e5b
width-09,eth_ema200_width_sweep,9,422497bab61ae33b8ebf92d6b31a808a8c0e467bd61ed9917c611c8e9a89e6b8,533,533,0.4896810506566604127579737336,0.8904238602148842501135317678,-11,-11,-0.1831697430783094537390515907,-0.2182044175013894100346095453,308,0.5032467532467532467532467532,2,2,225,0.4711111111111111111111111111,-13,-13,run_c0ff6259c9944ed3b18531bd1bf20880,ema_pullback:46a270b52cd6c9a35100d922
width-10,eth_ema200_width_sweep,10,422497bab61ae33b8ebf92d6b31a808a8c0e467bd61ed9917c611c8e9a89e6b8,363,363,0.4958677685950413223140495868,0.9323360588193040697534808788,-3,-3,-0.07702438914753514828886696993,-0.1457860823926412807236427869,205,0.5121951219512195121951219512,5,5,158,0.4746835443037974683544303797,-8,-8,run_985ed2b486ea42049d35bba4355bb1c5,ema_pullback:5c5f15f802dd0c662b6f5c66
width-11,eth_ema200_width_sweep,11,422497bab61ae33b8ebf92d6b31a808a8c0e467bd61ed9917c611c8e9a89e6b8,244,244,0.5409836065573770491803278689,1.202027523386671287450955715,20,20,0.1378938186821358930360464198,-0.0511341346718028019652233853,137,0.5547445255474452554744525547,15,15,107,0.5233644859813084112149532710,5,5,run_92107428c2064c0e8e4bc454565144f0,ema_pullback:c26269da8e7ee22b50ea03aa
width-12,eth_ema200_width_sweep,12,422497bab61ae33b8ebf92d6b31a808a8c0e467bd61ed9917c611c8e9a89e6b8,172,172,0.5581395348837209302325581395,1.109075077833906054768429615,20,20,0.05039984778973575807730069756,-0.0480446846663763386896668765,93,0.5913978494623655913978494624,17,17,79,0.5189873417721518987341772152,3,3,run_7d1eedbf7a464dbf88e187da7703ee2b,ema_pullback:fd47604d4468e8b00f058fa8
width-13,eth_ema200_width_sweep,13,422497bab61ae33b8ebf92d6b31a808a8c0e467bd61ed9917c611c8e9a89e6b8,121,121,0.5702479338842975206611570248,1.198618099870190045623775724,17,17,0.05662933966678655024294782344,-0.0260637287223529884410871976,67,0.6417910447761194029850746269,19,19,54,0.4814814814814814814814814815,-2,-2,run_a4d887b792bd4c86880836c4c123e8ab,ema_pullback:1aa7d6e1c1c1cf41f89d0ce2
width-14,eth_ema200_width_sweep,14,422497bab61ae33b8ebf92d6b31a808a8c0e467bd61ed9917c611c8e9a89e6b8,77,77,0.5584415584415584415584415584,1.283834659723645303531022965,9,9,0.04450835543935994933802259103,-0.0249634887986030925496231885,39,0.6410256410256410256410256410,11,11,38,0.4736842105263157894736842105,-2,-2,run_20c0c5151ad84f94a461992a1699f885,ema_pullback:f620e3c719a3642b9dcb1163
width-15,eth_ema200_width_sweep,15,422497bab61ae33b8ebf92d6b31a808a8c0e467bd61ed9917c611c8e9a89e6b8,50,50,0.54,1.194636946025813404583430484,4,4,0.01844537327783729080440085141,-0.0269251787466286240847938515,26,0.6538461538461538461538461538,8,8,24,0.4166666666666666666666666667,-4,-4,run_aa17f3aa1b2f44e3aa221d9b2de30a75,ema_pullback:38cae3f2bb7fdfc40c49876b
width-16,eth_ema200_width_sweep,16,422497bab61ae33b8ebf92d6b31a808a8c0e467bd61ed9917c611c8e9a89e6b8,34,34,0.5588235294117647058823529412,1.351753339212952590302617840,4,4,0.02170382462950592264042534415,-0.0211827211861769396200023553,18,0.6666666666666666666666666667,6,6,16,0.4375,-2,-2,run_b3760647012740ec870303d21783f60d,ema_pullback:a71b0a38697e0daa9b77464a
width-17,eth_ema200_width_sweep,17,422497bab61ae33b8ebf92d6b31a808a8c0e467bd61ed9917c611c8e9a89e6b8,25,25,0.6,1.548285782178405300025467563,5,5,0.02212324230266190687886259817,-0.0104755446456145617502276854,14,0.6428571428571428571428571429,4,4,11,0.5454545454545454545454545455,1,1,run_147d6f5825b94fc98cfe97328ed54c02,ema_pullback:427ac41a4177a84dc6c9ff73
width-18,eth_ema200_width_sweep,18,422497bab61ae33b8ebf92d6b31a808a8c0e467bd61ed9917c611c8e9a89e6b8,20,20,0.5,0.8815564892852042823428172977,0,0,-0.004724888484146013479882038593,-0.0134096674867980609906948598,11,0.5454545454545454545454545455,1,1,9,0.4444444444444444444444444444,-1,-1,run_3a98dc27ee7c4ef6a9b9f7b89c64e165,ema_pullback:77e2c71d0560c90bcf7952b4
